Instância,Ocorrência
aki,10
amg,1
aq,10
aqi,6
bj,1
bjs,3
blz,3
cap,1
caps,6
cm,55
ctz,1
dms,45
dnv,1
doq,3
dp,6
dps,28
dr,171
f1,6
fdp,325
flw,1
fzr,6
glr,3
gnt,6
hj,465
kd,171
kde,1
mds,120
mlk,6
msg,1
msm,276
mt,1081
mta,1
mtas,1
mto,903
mtos,1
mts,1
n,10878
nada,298378
nao,402753
nd,10
ngm,10
nn,3
non,105
obg,66
obgd,1
oq,1081
p,23005
pfv,1
pq,41905
pv,1
q,477753
qd,3
qdo,741
qts,1
rt,1
s,5565
sdds,3
sla,1
sqn,3
ss,1
t,630
tb,2080
tbm,2850
td,406
tds,120
tmj,595
tnc,6
tt,3
vc,146611
vcs,90951
vdd,171
vlw,3
vsf,6
vtnc,6
yt,21
zap,78
zaps,1
